feature_0,feature_1,feature_2,feature_3,scaled_target
-0.0048731267,-2.2013693,-2.28932,-0.32256588,1.1261811
0.09931886,-1.9160026,-1.6388644,-0.002923578,1.0104734
0.056135744,-1.7165949,-1.3832713,-0.07922956,0.6633504
0.023675919,-1.5070868,-1.2003541,0.031111509,0.8561965
0.005780816,-1.3488996,-0.92684853,0.40579262,0.62478113
-0.06531227,-1.1303245,-0.7310348,0.58664894,0.62478113
-0.100483835,-1.0779377,-0.7442007,0.75130606,0.27765813
-0.12008935,-1.0087923,-0.52199376,0.7545842,0.007673565
-0.072692335,-0.97840834,-0.5367104,0.88080144,-0.14660333
-0.071725726,-0.98666984,-0.5255399,1.1815017,0.16195047
-0.096899495,-0.9340369,-0.18052804,1.2857016,-0.03089566
-0.14322612,-0.9254381,0.021078885,1.5585662,0.23908891
-0.15692876,-0.9081632,0.05371964,1.6770535,-0.03089566
-0.22058061,-0.8691458,0.059776306,1.8490125,-0.18517256
-0.23506641,-0.83947736,-0.06441736,2.143362,-0.30088022
-0.24673149,-0.88670677,-0.14040345,2.1523285,-0.069464885
-0.3349329,-0.7641981,-0.18032366,2.1599762,-0.03089566
-0.39249134,-0.8796752,-0.49841163,1.7514321,-0.10803411
-0.39163393,-1.0744346,-0.6462885,1.2682749,-0.22374178
-0.12654573,-1.4530609,-1.1769823,1.3340985,0.16195047
-0.075196,-1.7787523,-1.4924513,0.5355803,0.16195047
0.1705932,-2.2382863,-1.8130733,0.22603717,0.27765813
0.32602328,-2.505295,-2.0289526,0.018258363,0.62478113
0.34105605,-2.6144032,-2.0218892,-0.0497559,0.8561965
0.3922435,-2.805058,-2.242076,-0.0794017,0.7404888
0.08797163,-2.3215823,-2.4552698,-0.3167381,1.0490426
-0.23641714,-1.7238169,-2.7133107,-0.4767973,0.5862119
-0.015105307,-1.6273866,-1.6223477,-0.2898639,0.7404888
-0.002887696,-1.5456815,-1.5187837,-0.26884016,0.43193504
0.0812507,-1.5353518,-1.0719378,0.2504187,0.5090735
